1, တူဝ်မႄႈလိၵ်ႈ, "ၵ ၶ င ၸ သ ၺ တ ထ ၼ ပ ၽ ၾ မ ယ ရ လ ဝ ႁ ဢ"
2, မႄႈၵပ်းငဝ်ႈ, "ဢ ဢႃ ဢီ ဢေ ဢႄ ဢူ ဢူဝ် ဢေႃ ဢိုဝ် ဢိူဝ်"
3, မႄႈၵပ်းသွၼ်ႉ, "ဢႆ ဢၢႆ ဢုၺ် ဢူၺ် ဢွႆ ဢိုၺ် ဢိူၺ် ဢဝ် ဢၢဝ် ဢိဝ် ဢဵဝ် ဢႅဝ် ဢႂိုဝ် ဢႂိူဝ် ဢႂ်"
4, တူဝ်ၽႅတ်းသဵင်လင် - မ်, "ဢမ် ဢၢမ် ဢိမ် ဢဵမ် ဢႅမ် ဢုမ် ဢူမ် ဢွမ် ဢိုမ် ဢိူမ်"
5, တူဝ်ၽႅတ်းသဵင်လင် - ၼ်, "ဢၼ် ဢၢၼ် ဢိၼ် ဢဵၼ် ဢႅၼ် ဢုၼ် ဢူၼ် ဢွၼ် ဢိုၼ် ဢိူၼ်"
6, တူဝ်ၽႅတ်းသဵင်လင် - င်, "ဢင် ဢၢင် ဢိင် ဢဵင် ဢႅင် ဢုင် ဢူင် ဢွင် ဢိုင် ဢိူင်"
7, တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ - ပ်, "ဢပ် ဢၢပ် ဢိပ် ဢဵပ် ဢႅပ် ဢုပ် ဢူပ် ဢွပ် ဢိုပ် ဢိူပ်"
8, တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ - တ်, "ဢတ် ဢၢတ် ဢိတ် ဢဵတ် ဢႅတ် ဢုတ် ဢူတ် ဢွတ် ဢိုတ် ဢိူတ်"
9, သဵင်ၶၢတ်ႇ - ၵ်, "ဢၵ် ဢၢၵ် ဢိၵ် ဢဵၵ် ဢႅၵ် ဢုၵ် ဢူၵ် ဢွၵ် ဢိုၵ် ဢိူၵ်"
