82, ဢိူၵ်, "လိူၵ်ႈၸိူၵ်ႈ ၽိူၵ်ႇၽိူၵ်ႇ ဢမ်ႇတိူၵ်ႈ ယႃႇမိူၵ်ႈ လိူၵ်ႈပိူၵ်ႈ"
81, ဢိုၵ်, "လုၵ်ႈသိုၵ်း တိုၵ်းသိုၵ်း တိုၵ်ႉၽိုၵ်း ၼမ်ႉလိုၵ်ႉ ၶိုၵ်ႇၼႃႇ"
80, ဢွၵ်, "ၵွၵ်းမွၵ်ႇ ဢဝ်ဢွၵ်ႇ သွၵ်ႈႁႃ ၼႂ်းၸႂ် ငွၵ်ႈတူၺ်း"
79, ဢူၵ်, "ၼူၵ်ႉၶူၵ်ႇ ႁူၵ်းတူဝ် မူၵ်းယူႇ တီႈၶူၵ်ႉ"
78, ဢုၵ်, "သုၵ်ႈၼႃႈ လုၵ်ႉၸုၵ်း တုၵ်းသုၵ်း ဢုၵ်းလုၵ်း ၽုၵ်ႇမုၵ်း"
77, ဢႅၵ်, "လွႆပႅၵ်ႇ ဢမ်ႇတႅၵ်ႇ မႅၵ်ႇမႆႉ ၵႆႉလႅၵ်ႈ ၶႅၵ်ႇမႃး"
76, ဢဵၵ်, "သဵမ်လဵၵ်း ဝဵၵ်ႉသူၼ် ႁဵၵ်ႇဢူၼ်ႈ မိုဝ်းတဵၵ်း လဵၵ်ႉလဵၵ်ႉ"
75, ဢိၵ်, "ပပ်ႉလိၵ်ႈ တီႈၸိၵ်း ဢမ်ႇသိၵ်ႇ သိုဝ်ႉပိၵ်ႈ လိၵ်းတႃ"
74, ဢၢၵ်, "ၸၢၵ်ႈယဵပ်ႉ ၶူဝ်းၽၢၵ်ႇ ႁႃႈပၢၵ်ႇ ဢမ်ႇငၢၵ်ႈ တၢၵ်ႇၽၢၵ်ႈ"
73, ဢၵ်, "သၵ်ႉၶူဝ်း မႆႉလၵ်း ပၵ်းဝႆႉ ႁူႉၸၵ်း ၽၵ်းပၵ်ႇ"
72, ဢိူတ်, "ႁိူတ်ႈၶူပ်း ၵိၼ်လိူတ်ႈ ဝၼ်းၵိူတ်ႇ ၼမ်ႉလိူတ်ႇ ၾူၼ်ႁိူတ်ႇ"
71, ဢိုတ်, "ၸွႆႈတိုတ်ႉ ယိုတ်ႈယိုတ်ႈ ဢမ်ႇၵိုတ်း ၽိုတ်ႇၼႃႇ ႁိုတ်းထႃႉ"
70, ဢွတ်, "ယွတ်ႈမႆႉ မႆႉၽွတ်ႉ ပွတ်းၼႃႇ ၼမ်ႉၽူတ်ႉ ႁူတ်းၾႆး"
69, ဢူတ်, "ၶုတ်ႇၼူတ်ႇ မူတ်းမူတ်း ၶူတ်းၵူတ်ႇ ၼမ်ႉၽူတ်ႉ ႁူတ်းၾႆး"
68, ဢုတ်, "ယႃႁုတ်း ၼႂ်းသုတ်း မႆႉၵုတ်ႇ ၶုတ်းလိတ်"
67, ဢႅတ်, "တႃမႅတ်း ယႃႇပႅတ်ႈ ၼႅတ်ႈဢဝ် ၵိမ်းၵႅတ်း တႅတ်ႈတႅတ်ႈ"
66, ဢဵတ်, "ပဵတ်းဢၢတ်ႇ ၸဵတ်းတူဝ် တဵတ်ႇယူႇ ဢဵတ်ႇသဵတ်ႇ ၶဵတ်ႇၵူဝ်"
65, ဢိတ်, "မိတ်ႈဝိတ်ႉ ၸိတ်းဢႅင်ႈ ဢိတ်းဢိတ်း ၸၢင်ႈၽိတ်း ပိတ်ႇလႄႈ"
64, ဢၢတ်, "သၢၼ်သၢတ်ႇ ၶၢႆၶၢတ်ႇ ၼႂ်းၵၢတ်ႇ လၢတ်ႈႁႃ ဢမ်ႇၽၢတ်ႇ"
63, ဢတ်, "ၵူၼ်းၵတ်ႉ ႁတ်းပတ်ႉ ဢမ်ႇၵတ်း ပေႃးၶတ်း ဝတ်ႉလႄႈ"
62, ဢိူပ်, "ငိူပ်ႇၽႃ ပဵၼ်ၵိူပ်ႇ မီးဢိူပ်ႇ ပိူပ်ႈၼမ်ႉ ၼၢႆးဢိူပ်း"
61, ဢိုပ်, "ၶိုပ်ႈၼိုင်ႈ ၶိုၼ်းသိုပ်ႇ လိုပ်ႈၵၼ် တီႈငိုပ်း ဢမ်ႇဢိုပ်း"
60, ဢွပ်, "ဢုမ်ႈႁွပ်ႇ တွပ်ႇထဵင် လွမ်ႉႁွပ်ႈ ၶွပ်ႈၼႃႇ ၽႃႈၵွပ်း"
59, ဢူပ်, "သူပ်းၵူပ်း ဢူပ်ႇပူပ်ႇ ႁူပ်ႉထူပ်း တူပ်းမိုဝ်း သၢမ်ႇၵူပ်ႇ"
58, ဢုပ်, "သုပ်းၵုပ်း ဢုပ်ႇၵၼ် ပေႃႉထုပ်ႉ ဢုပ်းၶမ်း လုပ်ႇသိူဝ်"
57, ဢႅပ်, "တိုဝ်းၶႅပ်း လႅပ်ႈလႅပ်ႈ ၶဝ်ႈၶႅပ်ႈ ၶႅပ်းၽႅပ်ႉ ၵႅပ်ႇၵႄႇ"
56, ဢဵပ်, "ၵဵပ်းႁဵပ်း ယဵပ်ႇၼဵပ်ႉ ဢမ်ႇၸဵပ်း လဵပ်ႈႁဵၼ်း ယဵပ်ႉသိူဝ်ႈ"
55, ဢိပ်, "ယိပ်းၵိပ်ႈ ယႃႇႁိပ်ႈ မႆႉလိပ်း သိပ်းလႅမ်ႈ ႁိပ်ႇၺိပ်ႈ"
54, ဢၢပ်, "ၵၢပ်ႇမိူဝ်ႈ မီးၶၢပ်ႈ ႁၢပ်ႇၵၢပ်ႇ ဢမ်ႇယၢပ်ႇ ယႃႇလၢပ်ႇ"
53, ဢပ်, "ၶပ်ႉပပ်ႉ ၼပ်ႉတူၺ်း ၸပ်းၸပ်း ယႃႇလပ်း ၼႂ်းတပ်ႉ"
52, ဢိူင်, "ပိူင်းၾႆး ၸိုင်ႈမိူင်း ႁူဝ်ဢိူင်ႇ ႁိူဝ်ႈႁိူင်း လိူင်ႇလိူင်ႇ"
51, ဢိုင်, "ႁူင်းၽိုင်ႈ ၼိုင်ႈႁိုင် ၸဵဝ်းထိုင် ဢမ်ႇၵိုင်ႇ ဢိင်ပိုင်ႈ"
50, ဢွင်, "ၵွင်မွင်း တွင်းဝႆႉ လွင်ႈႁဝ်း ပွင်ႇသင် ၶၢဝ်ၶွင်ႇ"
