1, တူဝ်မႄႈလိၵ်ႈ, "ၵ ၶ င ၸ သ ၺ တ ထ ၼ ပ ၽ ၾ မ ယ ရ လ ဝ ႁ ဢ"
2, မႄႈၵပ်းငဝ်ႈ, "ဢ ဢႃ ဢီ ဢေ ဢႄ ဢူ ဢူဝ် ဢေႃ ဢိုဝ် ဢိူဝ်"
3, မႄႈၵပ်းသွၼ်ႉ, "ဢႆ ဢၢႆ ဢုၺ် ဢူၺ် ဢွႆ ဢိုၺ် ဢိူၺ် ဢဝ် ဢၢဝ် ဢိဝ် ဢဵဝ် ဢႅဝ် ဢႂိုဝ် ဢႂိူဝ် ဢႂ်"
4, မ် - တူဝ်ၽႅတ်းသဵင်လင်, "ဢမ် ဢၢမ် ဢိမ် ဢဵမ် ဢႅမ် ဢုမ် ဢူမ် ဢွမ် ဢိုမ် ဢိူမ်"
5, ၼ် - တူဝ်ၽႅတ်းသဵင်လင်, "ဢၼ် ဢၢၼ် ဢိၼ် ဢဵၼ် ဢႅၼ် ဢုၼ် ဢူၼ် ဢွၼ် ဢိုၼ် ဢိူၼ်"
6, င် - တူဝ်ၽႅတ်းသဵင်လင်, "ဢင် ဢၢင် ဢိင် ဢဵင် ဢႅင် ဢုင် ဢူင် ဢွင် ဢိုင် ဢိူင်"
7, ပ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ဢပ် ဢၢပ် ဢိပ် ဢဵပ် ဢႅပ် ဢုပ် ဢူပ် ဢွပ် ဢိုပ် ဢိူပ်"
8, တ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ဢတ် ဢၢတ် ဢိတ် ဢဵတ် ဢႅတ် ဢုတ် ဢူတ် ဢွတ် ဢိုတ် ဢိူတ်"
9, ၵ် - တူဝ်ၽႅတ်းသဵင်ၶၢတ်ႇ, "ဢၵ် ဢၢၵ် ဢိၵ် ဢဵၵ် ဢႅၵ် ဢုၵ် ဢူၵ် ဢွၵ် ဢိုၵ် ဢိူၵ်"
